"manzanac","ed1","ed2","ed3","ed4","ed5","ed6","ed7","ed8","ed9","ed10","ed11","ed12","ed13","ed14","ed15"
"7600110000000017020125",8,11,14,15,16,12,11,11,14,16,11,16,14,18,19
"7600110000000017330132",0,1,1,2,1,1,1,0,3,3,3,3,1,7,3
"7600110000000017320106",4,2,4,4,2,0,3,1,2,3,3,0,0,2,1
"7600110000000017110211",0,1,1,2,3,3,3,1,0,4,0,0,1,1,3
"7600110000000019010122",3,1,3,0,3,2,2,4,1,1,5,4,1,6,4
"7600110000000017210414",0,0,0,1,1,0,0,0,0,2,1,2,0,2,0
"7600110000000019290205",1,2,0,0,0,1,0,0,0,0,0,0,1,1,1
"7600110000000015080135",1,1,1,0,0,0,1,1,0,0,2,2,0,1,2
"7600110000000017360530",1,3,6,3,2,2,2,7,3,4,6,7,3,2,1
"7600110000000017090324",2,2,2,1,1,2,2,2,1,2,4,2,9,1,1
"7600110000000002110304",7,4,6,6,5,8,7,1,5,3,8,6,9,6,4
"7600110000000017090223",0,1,0,1,1,0,1,1,2,1,2,0,0,2,1
"7600110000000015080211",0,2,0,1,2,2,1,3,1,1,0,2,0,1,1
"7600110000000019370104",0,0,2,0,0,1,0,0,0,1,3,1,0,0,1
"7600110000000017320112",1,5,2,4,2,2,4,6,2,7,2,0,3,6,2
"7600110000000015080137",1,2,2,0,1,2,0,2,1,2,2,0,1,4,2
"7600110000000017150219",0,0,0,0,3,0,1,0,0,0,0,0,0,1,0
"7600110000000017060107",1,0,2,3,2,3,2,3,1,1,5,2,0,3,7
"7600110000000017160926",4,0,1,0,0,0,0,2,1,0,1,1,2,3,0
"7600110000000002140136",0,3,4,1,4,2,6,2,1,3,2,7,1,2,2
"7600110000000017160845",0,1,0,0,2,0,0,0,0,0,1,4,0,0,0
"7600110000000019010140",0,0,1,0,0,1,1,2,2,0,0,2,0,1,0
"7600110000000017130136",0,0,1,1,0,1,1,0,0,1,0,1,1,0,1
"7600110000000017150109",2,1,2,1,0,1,1,1,0,2,4,3,0,1,2
"7600110000000017150302",2,1,4,1,1,1,2,1,0,0,3,0,0,1,0
"7600110000000017350104",4,1,6,4,5,4,3,5,4,4,7,2,6,7,4
"7600110000000002110203",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"7600110000000017160923",2,3,1,1,2,0,1,0,0,0,1,1,1,1,0
"7600110000000017150319",1,0,0,0,0,1,0,2,0,1,1,1,1,0,1
"7600110000000019050119",0,0,0,0,0,0,0,1,0,0,0,1,2,2,1
"7600110000000019050105",1,1,0,2,1,0,1,0,1,1,1,1,0,1,0
"7600110000000002090114",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"7600110000000019040110",4,1,1,1,0,2,1,1,2,0,0,0,0,0,1
"7600110000000017250312",0,0,2,1,1,1,1,0,0,0,0,1,0,0,1
"7600110000000019040101",0,0,1,2,0,1,0,0,1,1,0,0,0,2,2
"7600110000000002010314",1,0,0,0,1,0,0,0,0,2,3,1,0,3,0
"7600110000000017300103",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"7600110000000002130312",0,1,0,0,0,1,1,0,1,0,2,1,1,0,0
"7600110000000019400209",1,2,2,0,0,1,0,1,0,0,0,1,0,3,0
"7600110000000010010219",2,1,0,0,1,2,0,2,2,1,2,1,1,4,0
"7600110000000019150102",5,2,5,6,5,3,5,8,9,8,4,16,9,11,20
"7600110000000010010117",2,1,0,4,0,2,1,5,1,1,0,1,3,2,4
"7600110000000010010105",1,2,0,2,2,2,4,1,0,1,1,2,1,2,0
"7600110000000017360269",2,4,1,2,4,3,4,2,1,0,2,4,0,0,2
"7600110000000015080210",1,0,0,1,1,0,2,0,0,1,1,1,1,0,1
"7600110000000002040142",2,0,1,1,0,1,2,1,1,1,4,1,3,1,1
"7600110000000017210207",0,1,0,2,0,2,0,0,1,0,1,0,0,0,1
"7600110000000002220309",1,1,2,2,0,0,1,4,0,4,1,1,0,2,2
"7600110000000002120501",2,3,0,1,0,2,0,0,0,0,1,0,0,0,1
"7600110000000010010112",1,0,1,0,3,0,1,0,2,1,0,0,1,1,2
"7600110000000019250115",0,1,3,1,0,0,1,3,1,2,1,1,2,1,1
"7600110000000017360529",8,7,6,4,6,5,3,7,7,2,3,7,4,2,6
"7600110000000017210209",2,0,1,1,0,1,0,2,1,0,0,0,0,0,0
"7600110000000017180115",2,1,3,1,1,8,4,3,5,3,2,3,5,6,5
"7600110000000017030153",2,0,0,0,1,0,2,0,2,1,0,0,0,0,0
"7600110000000017250202",0,1,0,0,1,0,2,1,3,0,0,0,3,1,1
"7600110000000002060118",0,0,0,0,0,0,0,1,1,1,1,2,1,0,0
"7600110000000017360250",0,1,0,0,0,2,0,0,0,1,1,1,0,0,0
"7600110000000017330139",2,4,8,4,5,3,1,2,6,3,2,0,2,5,3
"7600110000000017210118",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"7600110000000019250108",0,2,0,0,4,0,1,0,1,1,3,1,2,0,3
"7600110000000017360536",1,1,1,2,0,1,1,2,2,1,2,0,1,1,2
"7600110000000010010216",0,0,2,1,0,2,0,2,0,1,1,0,0,2,1
"7600110000000002110106",3,2,3,4,5,7,2,1,7,2,3,7,8,4,6
"7600110000000002120206",1,2,0,0,2,0,1,0,1,0,2,1,2,1,4
"7600110000000017150206",0,0,2,2,2,0,0,2,1,2,1,2,0,1,1
"7600110000000017360419",1,2,0,1,1,0,1,0,4,1,0,0,3,2,1
"7600110000000017360556",5,6,10,4,6,3,3,5,2,3,0,4,1,2,8
"7600110000000017220114",5,3,3,7,0,3,3,4,3,4,3,3,5,1,3
"7600110000000002120208",0,0,0,3,1,1,0,2,0,0,1,0,0,0,2
"7600110000000002120513",0,3,0,4,0,3,0,1,1,2,0,1,0,1,0
"7600110000000017330134",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"7600110000000019030111",1,1,0,1,0,1,1,1,0,2,1,0,3,1,0
"7600110000000017310205",2,7,9,3,4,8,8,6,6,1,4,4,5,7,2
"7600110000000017070103",2,1,1,3,0,1,2,2,1,1,1,0,0,0,2
"7600110000000015080113",0,1,0,3,0,2,2,2,1,1,1,0,2,1,1
"7600110000000017250407",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
"7600110000000019330218",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"7600110000000017170111",1,2,2,4,2,5,5,4,4,4,3,3,6,1,5
"7600110000000017360314",1,3,1,1,1,1,1,0,1,0,0,2,0,1,0
"7600110000000017340106",4,0,0,1,1,2,1,1,1,3,3,4,2,2,2
"7600110000000002040211",0,1,3,3,1,1,2,1,0,1,1,2,2,1,2
"7600110000000017160840",1,1,2,1,2,2,1,6,3,1,5,4,6,4,2
"7600110000000002080110",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"7600110000000002140104",1,0,0,0,2,2,0,0,1,1,0,0,0,0,1
"7600110000000002220211",1,2,1,1,0,0,1,1,2,1,0,1,0,2,0
"7600110000000017330157",5,6,2,5,5,3,6,7,6,3,5,8,4,5,2
"7600110000000002200117",2,0,0,1,0,1,4,1,2,0,2,3,1,0,1
"7600110000000002220112",1,0,1,2,1,0,0,1,1,1,0,1,0,0,0
"7600110000000017200105",3,0,2,1,2,1,1,1,2,2,3,2,5,4,1
"7600110000000019290203",1,1,3,0,4,2,1,1,1,0,4,0,3,2,1
"7600110000000017130133",0,1,0,1,4,0,1,2,0,1,1,3,1,1,4
"7600110000000017150413",0,0,1,0,0,2,1,0,0,1,0,0,0,0,0
"7600110000000002130305",1,1,3,2,1,2,0,0,2,0,0,0,2,1,0
"7600110000000002200213",3,2,0,0,0,1,3,3,0,0,0,0,1,1,3
"7600110000000017150104",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7600110000000002210219",0,0,0,0,0,1,0,1,1,0,1,0,0,1,1
"7600110000000019290119",10,5,4,6,5,7,5,14,7,6,5,7,4,9,12
"7600110000000017210112",0,0,0,0,1,1,2,3,2,1,0,0,3,1,1
"7600110000000017210412",1,3,2,3,2,1,3,4,3,1,2,2,2,3,3
"7600110000000019230108",1,3,3,2,5,2,5,3,2,3,5,2,4,7,3
"7600110000000019150301",0,6,4,3,5,5,1,4,2,6,3,9,9,8,6
"7600110000000017150402",2,0,0,2,0,0,1,0,0,0,0,0,0,2,0
"7600110000000002090105",0,0,1,0,1,3,0,0,0,0,1,0,0,0,1
"7600110000000017360115",0,0,1,0,0,1,2,0,0,0,0,1,1,1,1
"7600110000000015080330",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"7600110000000019230109",2,2,2,1,0,0,1,2,4,3,3,0,1,0,2
"7600110000000010010203",1,0,3,3,0,1,2,2,0,3,2,0,0,1,2
