"manzanac","ed1","ed2","ed3","ed4","ed5","ed6","ed7","ed8","ed9","ed10","ed11","ed12","ed13","ed14","ed15"
"7600110000000002090308",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"7600110000000003050112",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"7600110000000002080423",1,0,0,0,1,1,0,0,1,0,2,2,1,2,1
"7600110000000003050117",1,2,0,1,0,0,0,2,0,2,0,0,0,0,1
"7600110000000003050101",3,2,0,0,0,3,1,0,1,2,0,0,0,0,0
"7600110000000002130306",0,0,0,1,0,0,1,0,0,0,0,1,1,0,2
"7600110000000002060310",0,0,2,1,0,0,0,0,0,1,0,0,0,0,2
"7600110000000002080103",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7600110000000002130202",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7600110000000002050102",2,2,0,0,1,0,0,1,2,1,3,1,1,1,1
"7600110000000002120526",0,0,1,0,0,0,2,0,0,1,1,0,0,0,0
"7600110000000002130214",0,0,0,0,1,0,2,0,1,1,2,1,0,1,0
"7600110000000002210224",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"7600110000000002070105",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7600110000000002130411",1,1,4,0,2,5,1,2,0,0,1,1,1,1,2
"7600110000000002130319",0,2,2,1,0,0,0,1,1,0,0,0,1,0,1
"7600110000000002130104",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002170108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"7600110000000002130315",0,1,3,0,2,1,1,2,0,1,0,1,1,2,1
"7600110000000002090110",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"7600110000000002080406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002210120",0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
"7600110000000002080211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002120417",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7600110000000002210221",0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
"7600110000000002080212",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"7600110000000002120408",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"7600110000000002090108",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"7600110000000002080413",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7600110000000002110410",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"7600110000000002200210",2,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"7600110000000002210114",2,0,0,1,0,2,0,1,0,1,2,0,1,0,0
"7600110000000002220402",0,0,0,0,0,1,0,0,0,1,0,1,1,0,1
"7600110000000002200204",1,0,1,0,0,0,0,1,0,0,0,1,0,1,2
"7600110000000002020111",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7600110000000002090219",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"7600110000000002110213",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7600110000000002130112",0,1,0,0,1,1,0,0,2,2,2,0,3,1,2
"7600110000000002050105",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"7600110000000002200308",0,1,0,0,0,0,0,0,1,1,0,0,0,0,2
"7600110000000002210109",0,0,0,1,1,1,0,0,1,1,1,0,2,1,0
"7600110000000002130208",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"7600110000000002170113",2,0,0,2,0,0,1,0,0,0,0,0,1,0,0
"7600110000000002080108",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"7600110000000003050106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002060117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002130310",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"7600110000000002130114",0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
"7600110000000002080411",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"7600110000000002080315",0,0,1,1,0,0,2,0,2,0,0,1,1,2,0
"7600110000000002120413",0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
"7600110000000002010312",0,0,1,1,0,2,2,0,1,1,2,0,0,1,1
"7600110000000002130218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002130311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002070102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002090306",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7600110000000002110215",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
